           3           6 ( 1.90619284465065007E-002, 5.15970473354035175E-002)
           3           7 (-1.06743027631639453E-005, 6.11879898317849863E-005)
           3           8 (-9.40376687853482218E-005, 1.54218762986185753E-005)
           3           9 ( 6.91634459923126264E-017, 4.15578398182075573E-017)
           3          10 (-1.23222225342743851E-017,-4.08248479626828146E-017)
           3          11 (-3.31411397522067552E-008, 9.71563237299249635E-007)
           3          12 (-8.92197570741617985E-007, 2.16370738465032630E-007)
           3          13 ( 3.76947301014630256E-017,-1.36217960728675990E-016)
           3          14 (-2.04529221872218239E-017, 6.61280934992392372E-017)
           3          15 ( 0.15716557817472138     ,-5.16945403114935781E-002)
           3          16 (-6.29148174188817917E-003, 0.16838625695357537     )
           4           1 ( 8.28956667969758532E-002,-0.29498222436464788     )
           4           2 ( 0.30591919344745599     ,-7.18080028060683800E-007)
           4           3 (-1.38777878078144568E-016, 4.47558656802016230E-016)
           4           4 ( 0.49999999999999689     ,  0.0000000000000000     )
           4           5 ( 1.90619284465050332E-002,-5.15970473354015538E-002)
           4           6 ( 6.09851500136581459E-002, 3.94591030281297907E-003)
           4           7 (-9.40376687856847582E-005,-1.54218762978865220E-005)
           4           8 ( 1.06743027642464128E-005, 6.11879898319170150E-005)
           4           9 ( 5.40342047756680568E-017, 6.24027058089129057E-018)
           4          10 (-6.80070653623590962E-017, 3.48973041936286898E-017)
           4          11 (-8.92197570736847495E-007,-2.16370738848623359E-007)
           4          12 ( 3.31411392634484159E-008, 9.71563237271863366E-007)
           4          13 (-8.73791302956991715E-017,-6.80510217616870875E-017)
           4          14 (-3.78260122701462389E-018, 1.65182903311068916E-016)
           4          15 (-6.29148174188817050E-003,-0.16838625695357429     )
           4          16 (-0.15716557817472079     ,-5.16945403114933769E-002)
           5           1 (-9.47972870661934245E-007,-2.42538422342729597E-004)
           5           2 (-1.73206556085467572E-005,-1.32704344787790314E-005)
           5           3 (-6.09851500136560989E-002,-3.94591030281359056E-003)
           5           4 ( 1.90619284465050332E-002, 5.15970473354015538E-002)
           5           5 ( 0.49999999999999828     ,  0.0000000000000000     )
           5           6 ( 1.45109618765459913E-015,-1.32272665043231541E-015)
           5           7 ( 0.33234358501001920     ,-3.92696342187458421E-003)
           5           8 (-4.31697040074431881E-002, 0.10690497658268666     )
           5           9 (-2.84934514441869523E-017,-8.76222681342814221E-017)
           5          10 (-2.68446096553897137E-017,-2.09243882786370107E-017)
           5          11 ( 0.34358333791246654     , 3.74263465442850932E-005)
           5          12 (-3.31857397765405807E-002, 1.81304211068582591E-002)
           5          13 (-2.29474888678106784E-016, 4.27456401909445592E-017)
           5          14 ( 6.80738408555680568E-017,-1.11586708969304102E-016)
           5          15 ( 1.41950633329255421E-005,-1.72905307537774000E-005)
           5          16 ( 2.73982651917439824E-004, 1.01938986804723397E-005)
           6           1 (-1.73206556089876276E-005, 1.32704344775914709E-005)
           6           2 ( 9.47972869320967693E-007,-2.42538422342440522E-004)
           6           3 ( 1.90619284465065007E-002,-5.15970473354035175E-002)
           6           4 ( 6.09851500136581459E-002,-3.94591030281297907E-003)
